ProductID,Date,Units,Revenue,Country
1082,28/06/2015,1,225.6975,Belgium
1082,14/12/2015,1,230.9475,Belgium
1082,03/05/2016,1,230.9475,Belgium
1082,14/05/2018,1,230.9475,Belgium
1082,30/06/2018,1,230.9475,Belgium
1085,28/12/2020,1,89.1975,Belgium
1085,28/12/2020,1,89.1975,Belgium
1085,24/03/2021,1,89.1975,Belgium
1075,20/07/2016,1,254.5725,Belgium
1086,26/08/2017,1,84,Belgium
1086,28/10/2017,2,178.395,Belgium
1086,01/11/2017,1,89.1975,Belgium
1086,31/08/2019,1,86.5725,Belgium
1086,29/10/2019,1,86.5725,Belgium
1086,30/11/2019,1,86.5725,Belgium
1086,28/12/2019,1,86.5725,Belgium
1086,17/05/2020,1,86.5725,Belgium
1086,31/05/2020,1,86.5725,Belgium
1085,29/08/2021,1,89.1975,Belgium
1085,29/12/2019,1,86.5725,Belgium
1085,26/04/2020,1,86.5725,Belgium
1085,14/11/2020,1,89.1975,Belgium
1085,09/12/2020,1,89.1975,Belgium
1085,13/12/2020,1,89.1975,Belgium
1081,30/12/2018,1,230.9475,Belgium
1086,29/08/2021,1,89.1975,Belgium
1086,27/10/2021,1,89.1975,Belgium
1086,29/12/2018,1,83.9475,Belgium
1086,30/12/2018,2,167.895,Belgium
1086,30/12/2018,1,83.9475,Belgium
1086,28/01/2019,1,83.9475,Belgium
1086,30/11/2019,1,86.5725,Belgium
1086,16/12/2019,1,86.5725,Belgium
1086,04/01/2020,1,86.5725,Belgium
1085,02/05/2018,1,84,Belgium
1085,02/05/2018,1,89.1975,Belgium
1085,14/10/2018,1,89.1975,Belgium
1085,24/11/2018,1,83.9475,Belgium
1085,29/12/2018,1,89.1975,Belgium
1085,29/12/2018,2,178.395,Belgium
1085,30/12/2018,1,83.9475,Belgium
1085,03/02/2019,1,89.1975,Belgium
1085,31/03/2019,1,83.9475,Belgium
1085,05/08/2019,1,86.5725,Belgium
1086,03/08/2020,1,86.5725,Belgium
1086,25/10/2017,1,84,Belgium
1086,29/10/2017,1,89.1975,Belgium
1086,25/11/2017,1,84,Belgium
1086,25/11/2017,1,84,Belgium
1085,20/12/2017,1,84,Belgium
1085,26/12/2017,1,89.1975,Belgium
1085,27/12/2017,1,89.1975,Belgium
1085,03/02/2018,1,89.1975,Belgium
1085,26/02/2018,1,89.1975,Belgium
1085,22/07/2018,1,89.1975,Belgium
1085,01/12/2018,1,83.9475,Belgium
1085,23/12/2018,1,83.9475,Belgium
1085,26/01/2019,1,83.9475,Belgium
1085,27/01/2019,1,83.9475,Belgium
1085,19/03/2019,1,83.9475,Belgium
1085,27/12/2020,1,89.1975,Belgium
1086,31/03/2018,1,89.1975,Belgium
1086,21/12/2020,1,86.5725,Belgium
1086,27/12/2020,1,89.1975,Belgium
1086,21/04/2021,1,89.1975,Belgium
1086,10/05/2021,1,89.1975,Belgium
1086,07/08/2021,1,89.1975,Belgium
1085,27/12/2016,1,84,Belgium
1085,15/01/2017,1,84,Belgium
1081,26/10/2020,1,230.9475,Belgium
1082,15/03/2014,1,225.6975,Belgium
1082,01/02/2015,1,228.3225,Belgium
1086,30/11/2021,1,89.1975,Belgium
1086,20/10/2019,1,86.5725,Belgium
1086,29/11/2019,1,86.5725,Belgium
1086,17/12/2019,1,86.5725,Belgium
1086,27/12/2019,1,86.5725,Belgium
1086,26/04/2020,1,86.5725,Belgium
1086,30/09/2020,1,89.1975,Belgium
1086,17/10/2020,1,89.1975,Belgium
1076,22/02/2017,1,259.8225,Belgium
1086,28/12/2020,1,89.1975,Belgium
1086,28/12/2020,1,89.1975,Belgium
1086,03/01/2021,1,89.1975,Belgium
1086,19/03/2019,1,83.9475,Belgium
1086,06/05/2019,1,83.9475,Belgium
1086,03/11/2020,1,89.1975,Belgium
1086,21/12/2020,1,89.1975,Belgium
1086,28/12/2020,1,89.1975,Belgium
1086,29/12/2020,1,89.1975,Belgium
1086,29/12/2020,1,89.1975,Belgium
1086,02/02/2021,1,89.1975,Belgium
1086,05/08/2017,1,84,Belgium
1086,26/08/2017,1,84,Belgium
1085,30/11/2019,1,86.5725,Belgium
1085,16/12/2019,1,86.5725,Belgium
1085,27/12/2019,1,86.5725,Belgium
1085,04/01/2020,1,86.5725,Belgium
1086,20/05/2020,1,86.5725,Belgium
1086,07/12/2019,1,86.5725,Belgium
1086,22/12/2019,1,86.5725,Belgium
1086,29/12/2019,1,86.5725,Belgium
1085,30/09/2018,1,83.9475,Belgium
1085,19/11/2018,1,83.9475,Belgium
1082,05/12/2018,1,230.9475,Belgium
1079,15/01/2014,1,262.4475,Belgium
1081,15/03/2014,1,225.6975,Belgium
1081,01/02/2015,1,228.3225,Belgium
1075,05/09/2017,1,259.8225,Belgium
1076,15/11/2014,1,254.5725,Belgium
1076,15/12/2014,1,254.5725,Belgium
